year,week,lab,n,b117,s501yv2
2020,51,Viollier,518,0,1
2020,52,Viollier,662,3,0
2020,53,Viollier,1157,13,1
2021,1,Viollier,1291,53,2
2021,2,Viollier,1064,53,0
2021,3,Viollier,1101,88,3
2021,4,Viollier,827,130,0
2021,5,Viollier,779,216,4
2021,6,Viollier,441,173,2
2021,7,Viollier,477,227,7
2021,8,Viollier,340,214,11
2021,9,Viollier,293,234,1
2020,51,Risch,1963,1,
2020,52,Risch,1531,6,
2020,53,Risch,1495,8,
2021,1,Risch,1442,18,2
2021,2,Risch,911,43,0
2021,3,Risch,792,87,2
2021,4,Risch,984,169,13
2021,5,Risch,662,159,5
2021,6,Risch,537,144,10
2021,7,Risch,430,199,10
2021,8,Risch,500,275,11
2021,9,Risch,444,290,6
